Date ,Alandi,Budhwad (Velholi),Koliye,Paud,basin_total,cluster,regime,pc1,pc2
1987-05-06,23.4,0.0,14.5,7.1,45.0,0,Low,-0.46115022008893897,-0.7804400179020188
1987-05-07,7.0,0.0,15.6,18.1,40.7,2,Normal,0.4377751147857589,-1.3600708496982419
1987-05-08,0.0,0.0,0.0,0.0,0.0,0,Low,0.16356434400524508,-1.4033141479886226
1987-05-09,0.0,0.0,0.0,9.0,9.0,0,Low,-0.22268025058778926,-0.5435998992271606
1987-05-10,38.6,0.0,0.0,70.0,108.6,2,Normal,1.9514053510072749,-1.4845644248700638
1987-05-11,0.0,0.0,0.0,4.0,4.0,2,Normal,2.055188189335837,-1.3025943933853028
1987-05-12,0.0,0.0,0.0,0.0,0.0,2,Normal,1.6826588529633555,-0.9751510200776288
1987-06-01,0.0,0.0,0.0,0.0,0.0,0,Low,0.24168814744227643,1.0543248017646478
1987-06-02,0.0,0.0,0.0,0.0,0.0,0,Low,-0.19052902226220061,1.1256536234835581
1987-06-03,0.0,0.0,0.0,0.0,0.0,0,Low,-0.3320515935221514,1.097087196116389
1987-06-04,0.0,0.0,0.0,0.0,0.0,0,Low,-0.41772118702153177,1.178509739153801
1987-06-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1774597138957623,0.975245910195871
1987-06-06,0.0,0.0,5.2,1.0,6.2,0,Low,-1.3693503531376938,0.12248572702609481
1987-06-07,17.8,0.0,23.2,6.0,47.0,0,Low,-0.2683999954209985,-0.712612780378168
1987-06-08,0.0,3.6,5.1,0.0,8.7,0,Low,-0.26871858077243216,-0.9066404858646849
1987-06-09,0.0,1.2,0.0,0.0,1.2,0,Low,-0.4260966079764024,-0.8179731043860546
1987-06-10,32.0,0.0,0.0,8.1,40.1,0,Low,0.2217010859309073,-0.805434386402558
1987-06-11,0.0,0.0,0.0,0.0,0.0,0,Low,0.13358911913509341,-0.5389738289937139
1987-06-12,0.0,0.0,0.0,0.0,0.0,0,Low,-0.2928627823396234,-0.5354632506094776
1987-07-01,0.0,0.0,0.0,0.0,0.0,0,Low,-0.8351334073241554,0.4550837686509253
1987-07-02,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1828424919890566,0.5197831786291691
1987-07-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.363116644465383,0.26464232701398926
1987-07-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.4047331170427946,0.23555790755597206
1987-07-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.7410998003468765,0.21820694225086812
1987-07-06,0.0,0.0,6.8,0.0,6.8,0,Low,-1.7158833855295532,-0.14958074181567654
1987-07-07,3.8,0.0,30.0,59.0,92.8,0,Low,0.16593965159165486,-1.2630509531305498
1987-07-08,0.0,1.2,2.8,0.0,4.0,0,Low,0.26973324656587316,-1.3304965543120584
1987-07-09,0.0,0.0,1.8,0.0,1.8,0,Low,0.077571507408797,-1.158805022554952
1987-07-10,14.6,0.0,0.0,1.0,15.6,0,Low,-0.29799671426771335,-0.17655975790661593
1987-07-11,0.0,0.0,0.0,0.0,0.0,0,Low,-0.3511353406032695,0.20970771739899305
1987-07-12,0.0,0.0,0.0,0.0,0.0,0,Low,-0.5866395759164792,0.4009434025991508
1987-08-01,0.0,0.0,0.0,0.0,0.0,0,Low,-0.8512255872310481,0.8741335521584566
1987-08-02,0.0,0.0,0.0,0.0,0.0,0,Low,-1.3955215057494395,0.7182826967614797
1987-08-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.6694528824887083,0.09167299208664893
1987-08-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.6948538733780556,0.07405700952467684
1987-08-05,0.0,0.0,9.4,0.0,9.4,0,Low,-1.6532172130315612,-0.05261375955434258
1987-08-06,0.0,0.0,9.0,0.0,9.0,0,Low,-1.5146835617673782,-0.27631217473399794
1987-08-07,0.0,13.0,24.2,43.0,80.2,0,Low,0.0381351232050827,-1.1737994856955953
1987-08-08,0.0,2.0,0.3,1.0,3.3,0,Low,0.03882352507977419,-1.0909346991846904
1987-08-09,0.0,2.6,15.3,0.0,17.900000000000002,0,Low,0.039030816031708465,-1.1664108010761816
1987-08-10,0.0,0.0,0.0,0.0,0.0,0,Low,-0.6349848434222701,-0.011377411457130601
1987-08-11,0.0,0.0,0.0,0.0,0.0,0,Low,-0.6908752642884184,0.3689258059871369
1987-08-12,0.0,0.0,0.0,0.0,0.0,0,Low,-0.9947425688636007,0.7647825684065368
1987-09-01,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1014332680346275,0.8140826437451821
1987-09-02,0.0,0.0,0.0,0.0,0.0,0,Low,-1.555959821965253,0.6495188354656879
1987-09-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.7929222796178417,0.0917383900776232
1987-09-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.8951480545704669,0.04460200053635165
1987-09-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.9432039795526963,-0.08232903606707247
1987-09-06,0.0,0.0,1.8,0.0,1.8,0,Low,-1.9080862812196075,-0.10469369736535397
1987-09-07,0.0,2.6,33.6,3.0,39.2,0,Low,-1.1727885743601212,-0.5966671229330939
1987-09-08,0.0,6.6,12.6,0.0,19.2,0,Low,-0.8213401870043862,-0.8470079762838638
1987-09-09,0.0,22.6,2.8,1.0,26.400000000000002,0,Low,-0.5889613531908368,-1.1933075424715165
1987-09-10,0.0,0.0,0.0,0.0,0.0,0,Low,-0.9140217817915157,-0.6110937558337595
1987-09-11,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1242157542025952,-0.18647001500405527
1987-09-12,0.0,0.0,0.0,0.0,0.0,0,Low,-1.3310521786011715,0.3069232115262322
1987-10-01,0.0,0.0,0.0,0.0,0.0,0,Low,-1.3672111749110498,0.4616698627487171
1987-10-02,0.0,0.0,0.0,0.0,0.0,0,Low,-1.5928095211947375,0.46854672885642895
1987-10-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.8032281851898093,0.18841701669507244
1987-10-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.976014900809006,0.01838884031536211
1987-10-05,0.0,0.0,0.0,8.6,8.6,0,Low,-1.8751370009968065,-0.2628031816120656
1987-10-06,0.0,0.0,0.0,4.0,4.0,0,Low,-1.791068610964924,-0.30885839849888225
1987-10-07,0.0,12.4,20.6,2.0,35.0,0,Low,-1.1397884742584943,-0.7071739573023061
1987-10-08,0.0,9.0,2.0,2.0,13.0,0,Low,-0.9723604052893721,-0.7379923480309886
1987-10-09,2.2,7.8,3.5,2.0,15.5,0,Low,-0.8012402069577601,-0.858792551679976
1987-10-10,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1243072529075964,-0.35824538688601815
1987-10-11,0.0,0.0,0.0,0.0,0.0,0,Low,-1.2942695806604543,-0.05882263090968044
1987-10-12,16.4,0.0,0.0,0.0,16.4,0,Low,-0.9918301963329097,-0.1372123471614253
1987-11-01,0.0,0.0,0.0,0.0,0.0,0,Low,-1.0496816807501825,-0.1085445109806293
1987-11-02,0.0,0.0,0.0,0.0,0.0,0,Low,-1.2446753912919732,-0.10539748195017963
1987-11-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.6145890055854804,0.07233883539121853
1987-11-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.738114590471389,0.01833558272832012
1987-11-05,6.0,0.0,20.4,0.0,26.4,0,Low,-1.2049801497554284,-0.45968611450937974
1987-11-06,0.0,0.0,3.0,0.0,3.0,0,Low,-1.138700122788175,-0.4892298237410828
